rt,choice,correct,dr,drt,participant
0.5336000000000001,1,0,0,,S1
0.9223,1,1,0,,S1
0.6345,2,1,0,,S1
0.5492,1,1,0,,S1
0.5628,2,0,0,,S1
0.9511000000000001,2,0,0,,S1
0.4477,1,1,0,,S1
0.5287000000000001,1,1,0,,S1
0.3579,1,1,0,,S1
0.44730000000000003,1,0,0,,S1
0.656,1,1,0,,S1
0.7472000000000001,2,1,0,,S1
0.6498999999999999,1,1,0,,S1
0.8171,2,1,0,,S1
0.7724,1,1,0,,S1
0.5892000000000001,2,0,0,,S1
0.6447,1,1,0,,S1
0.6477999999999999,2,1,0,,S1
0.6612,2,1,0,,S1
0.8431000000000001,2,1,0,,S1
0.5759,2,1,0,,S1
0.4258,2,1,0,,S1
0.4092,2,1,0,,S1
0.49789999999999995,2,1,0,,S1
0.5367999999999999,2,1,0,,S1
0.5079,2,1,0,,S1
0.3885,2,1,0,,S1
0.6254,1,1,0,,S1
0.45230000000000004,2,1,0,,S1
0.5487000000000001,2,0,0,,S1
0.521,1,0,0,,S1
0.6508999999999999,1,1,0,,S1
0.6171,2,1,0,,S1
0.6899,1,0,0,,S1
0.5091,2,1,0,,S1
0.7108,2,1,0,,S1
0.43910000000000005,2,1,0,,S1
0.4068,2,1,0,,S1
0.3033,2,0,0,,S1
0.4607,2,1,0,,S1
0.5647000000000001,1,1,0,,S1
0.5104,1,1,0,,S1
0.43739999999999996,1,1,0,,S1
0.43,2,0,0,,S1
0.4754,1,1,0,,S1
0.4636,2,0,0,,S1
0.5046,1,0,0,,S1
0.49489999999999995,1,1,0,,S1
0.5787,1,1,0,,S1
0.3758,1,0,0,,S1
0.5546,1,1,0,,S1
0.7155,2,1,0,,S1
0.4938,1,0,0,,S1
0.4898,2,1,0,,S1
0.5726,1,1,0,,S1
0.45430000000000004,2,1,0,,S1
0.3604,1,0,0,,S1
0.6379,2,1,0,,S1
0.4397,2,0,0,,S1
0.4894,2,1,0,,S1
0.5567000000000001,2,0,0,,S1
0.8252,1,1,0,,S1
0.468,1,1,0,,S1
0.3755,1,1,0,,S1
0.4214,1,1,0,,S1
0.7226,2,1,0,,S1
0.6033999999999999,2,1,0,,S1
0.4502,2,0,0,,S1
0.7195,1,1,0,,S1
0.4572,1,1,0,,S1
0.4572,1,0,0,,S1
0.7581,1,0,0,,S1
0.5791000000000001,2,1,0,,S1
0.4063,2,1,0,,S1
0.36260000000000003,2,1,0,,S1
0.29569999999999996,2,0,0,,S1
0.4943,1,1,0,,S1
0.5869,2,1,0,,S1
0.38530000000000003,1,1,0,,S1
0.6782999999999999,1,1,0,,S1
0.3494,1,1,0,,S1
0.4824,1,0,0,,S1
0.4556,1,1,0,,S1
0.3915,1,0,0,,S1
0.7067,2,1,0,,S1
0.4552,2,1,0,,S1
0.3482,2,1,0,,S1
0.5765,1,0,0,,S1
0.5483,2,1,0,,S1
0.4898,2,1,0,,S1
0.4304,2,1,0,,S1
0.3735,2,1,0,,S1
0.3502,2,0,0,,S1
0.3387,2,1,0,,S1
0.39189999999999997,2,0,0,,S1
0.592,2,0,0,,S1
0.6796,1,0,0,,S1
0.6247999999999999,2,1,0,,S1
0.6189,1,1,0,,S1
0.4844,2,1,0,,S1
0.4159,2,1,0,,S1
0.42760000000000004,2,1,0,,S1
0.3202,2,0,0,,S1
0.29460000000000003,2,1,0,,S1
0.6665,1,1,0,,S1
0.5622,1,1,0,,S1
0.4408,1,0,0,,S1
0.4029,1,0,0,,S1
0.4909,1,1,0,,S1
0.4825,1,1,0,,S1
0.3034,1,0,0,,S1
0.5708,1,1,0,,S1
0.8158,2,1,0,,S1
0.7051000000000001,2,1,0,,S1
0.48210000000000003,2,1,0,,S1
0.5738,1,1,0,,S1
1.0374,2,0,0,,S1
0.6621,2,1,0,,S1
0.4998,2,1,0,,S1
0.45039999999999997,2,0,0,,S1
0.6797000000000001,1,1,0,,S1
0.3947,1,1,0,,S1
0.3314,1,0,0,,S1
0.3965,1,0,0,,S1
0.626,2,1,0,,S1
0.5608,1,1,0,,S1
0.4758,1,1,0,,S1
0.3967,1,1,0,,S1
0.30989999999999995,1,0,0,,S1
0.42310000000000003,1,1,0,,S1
0.5706,2,1,0,,S1
0.457,2,1,0,,S1
0.4885,1,1,0,,S1
0.44630000000000003,2,1,0,,S1
0.5508,2,1,0,,S1
0.43910000000000005,2,1,0,,S1
0.3359,2,0,0,,S1
0.5695,1,1,0,,S1
0.477,1,1,0,,S1
0.5648,2,1,0,,S1
0.6067,1,1,0,,S1
0.387,2,0,0,,S1
0.4472,1,0,0,,S1
0.6479,1,0,1,0.16169999999999998,S1
0.7855,1,1,0,,S1
0.5192,2,0,0,,S1
0.5584,1,0,0,,S1
0.5764,2,0,0,,S1
0.7913,2,1,0,,S1
0.4875,2,1,0,,S1
0.3598,2,1,0,,S1
0.3512,2,0,0,,S1
0.3861,2,0,0,,S1
0.5065,1,0,0,,S1
0.4725,2,1,0,,S1
0.3221,2,0,0,,S1
0.5938,2,1,0,,S1
0.5146000000000001,2,1,0,,S1
0.297,2,0,0,,S1
0.4108,2,0,0,,S1
0.5318999999999999,2,1,0,,S1
0.5083,2,1,0,,S1
0.49589999999999995,2,1,0,,S1
0.5468,2,1,0,,S1
0.5462,2,0,1,0.0715,S1
0.6811,1,1,0,,S1
0.3452,1,1,0,,S1
0.3664,1,1,0,,S1
0.3464,1,1,0,,S1
0.2918,1,0,0,,S1
0.451,1,0,0,,S1
0.8222999999999999,2,1,0,,S1
0.5431,1,1,0,,S1
0.36019999999999996,1,1,0,,S1
0.3993,1,1,0,,S1
0.32439999999999997,1,0,0,,S1
0.4305,1,1,0,,S1
0.38180000000000003,1,1,0,,S1
0.29410000000000003,1,1,0,,S1
0.21009999999999998,1,1,0,,S1
0.2425,1,0,0,,S1
0.3428,1,1,0,,S1
0.2742,1,0,0,,S1
0.38180000000000003,1,0,0,,S1
0.7137,2,1,0,,S1
0.3598,2,1,0,,S1
0.26539999999999997,2,1,0,,S1
0.2755,2,1,0,,S1
0.3352,2,1,0,,S1
0.36889999999999995,2,0,0,,S1
0.4629,2,1,0,,S1
0.39189999999999997,2,1,0,,S1
0.6287,1,1,0,,S1
0.5355,2,1,0,,S1
0.5618,2,1,0,,S1
0.3608,2,1,0,,S1
0.3974,2,0,0,,S1
0.4885,1,1,0,,S1
0.5468999999999999,2,1,0,,S1
0.4802,2,1,0,,S1
0.5468,1,1,0,,S1
0.4588,2,0,0,,S1
0.5134,2,0,0,,S1
0.4965,2,1,0,,S1
0.5065,1,1,0,,S1
0.5114,1,1,0,,S1
0.3983,1,0,0,,S1
0.7048,2,1,0,,S1
0.5207,2,1,0,,S1
0.3583,2,1,0,,S1
0.3635,2,1,0,,S1
0.4031,1,1,0,,S1
0.5637000000000001,1,0,0,,S1
0.4294,1,0,0,,S1
0.7888999999999999,2,1,0,,S1
0.4512,2,0,0,,S1
0.4269,1,1,0,,S1
0.628,1,0,0,,S1
0.6852999999999999,1,1,0,,S1
0.316,1,1,0,,S1
0.3385,1,1,0,,S1
0.5011,1,1,0,,S1
0.5042,1,0,0,,S1
0.8109,1,0,0,,S1
0.6451,1,1,0,,S1
0.5945,2,1,0,,S1
0.4651,2,1,0,,S1
0.3206,2,0,0,,S1
0.6615,1,1,0,,S1
0.5569,2,1,0,,S1
0.42110000000000003,2,1,0,,S1
0.3931,2,1,0,,S1
0.38239999999999996,2,0,0,,S1
0.6144,1,1,0,,S1
0.5194,2,1,0,,S1
0.5224,1,1,0,,S1
0.4038,2,1,0,,S1
0.4041,1,1,0,,S1
0.4557,2,0,0,,S1
0.6862,2,1,0,,S1
0.5664,2,1,0,,S1
0.4649,2,1,0,,S1
0.49160000000000004,2,0,0,,S1
0.4208,2,1,0,,S1
0.2696,2,0,0,,S1
0.5113,1,1,0,,S1
0.3406,1,0,0,,S1
0.5215,1,1,0,,S1
0.6497,2,1,0,,S1
0.5062,1,1,0,,S1
0.38589999999999997,2,0,0,,S1
0.4203,1,0,0,,S1
0.6662,1,0,0,,S1
0.2287,2,0,0,,S1
0.6189,1,1,0,,S1
0.6008,1,1,0,,S1
0.342,1,0,0,,S1
0.32889999999999997,1,1,0,,S1
0.30589999999999995,1,1,0,,S1
0.2294,1,1,0,,S1
0.2833,1,1,0,,S1
0.2007,1,1,0,,S1
0.2071,1,1,0,,S1
0.2381,1,1,0,,S1
0.44580000000000003,1,0,0,,S1
0.4605,2,1,0,,S1
0.2932,2,0,0,,S1
0.4868,1,1,0,,S1
0.424,1,1,0,,S1
0.38339999999999996,1,0,0,,S1
0.6648,1,1,0,,S1
0.6032000000000001,1,1,0,,S1
0.6693,2,1,0,,S1
0.3555,2,1,0,,S1
0.2752,2,0,0,,S1
0.4122,2,0,0,,S1
0.5388,1,0,0,,S1
0.44930000000000003,2,0,0,,S1
0.37,2,0,0,,S1
0.6306,2,1,0,,S1
0.5772999999999999,2,1,0,,S1
0.3472,2,1,0,,S1
0.2737,2,0,0,,S1
0.5491,2,1,0,,S1
0.3282,2,1,0,,S1
0.3192,2,0,0,,S1
0.5527000000000001,1,1,0,,S1
0.5145,1,1,0,,S1
0.3775,1,1,0,,S1
0.29660000000000003,1,1,0,,S1
0.3315,1,1,0,,S1
0.3311,1,0,0,,S1
0.5122000000000001,1,1,0,,S1
0.3092,1,1,0,,S1
0.2929,1,1,0,,S1
0.6511,2,1,0,,S1
0.37889999999999996,2,0,0,,S1
0.7437999999999999,2,1,0,,S1
0.4614,2,1,0,,S1
0.3493,2,0,0,,S1
0.4158,2,1,0,,S1
0.656,1,0,0,,S1
0.3561,2,1,0,,S1
0.3409,2,0,0,,S1
0.4643,2,1,0,,S1
0.3885,2,1,0,,S1
0.5292,1,1,0,,S1
0.3553,1,1,0,,S1
0.3845,1,1,0,,S1
0.3927,1,1,0,,S1
0.4614,1,1,0,,S1
0.605,2,1,0,,S1
0.3276,2,1,0,,S1
0.3782,2,0,0,,S1
0.488,2,1,0,,S1
0.4661,2,1,0,,S1
0.264,2,0,0,,S1
0.4254,2,0,0,,S1
0.5294,1,1,0,,S1
0.5437000000000001,2,1,0,,S1
0.4086,2,1,0,,S1
0.3827,2,1,0,,S1
0.322,2,1,0,,S1
0.4741,2,1,0,,S1
0.5322,1,1,0,,S1
0.4317,1,1,0,,S1
0.38639999999999997,1,1,0,,S1
0.4427,1,1,0,,S1
0.4103,1,1,0,,S1
0.4337,1,0,0,,S1
0.5632,1,1,0,,S1
0.6427,2,1,0,,S1
0.5561,1,1,0,,S1
0.45539999999999997,1,1,0,,S1
0.5841000000000001,2,1,0,,S1
0.6003,2,1,0,,S1
0.4177,2,1,0,,S1
0.36869999999999997,2,1,0,,S1
0.3103,2,0,0,,S1
0.4839,1,1,0,,S1
0.5124,2,1,0,,S1
0.628,2,1,0,,S1
0.6015,2,1,0,,S1
0.4465,2,0,0,,S1
0.6952,1,1,0,,S1
0.6166,2,1,0,,S1
0.45430000000000004,2,1,0,,S1
0.5037,1,1,0,,S1
0.476,1,0,0,,S1
0.4532,1,1,0,,S1
0.6089,2,1,0,,S1
0.4909,2,1,0,,S1
0.5875,2,0,0,,S1
0.5448999999999999,2,1,0,,S1
0.4368,2,1,0,,S1
0.525,1,1,0,,S1
0.4649,2,1,0,,S1
0.3997,1,1,0,,S1
0.2828,2,0,0,,S1
0.7178,1,1,0,,S1
0.2872,1,0,0,,S1
0.428,1,1,0,,S1
0.2874,1,1,0,,S1
0.4704,1,1,0,,S1
0.29369999999999996,1,1,0,,S1
0.4215,1,0,0,,S1
0.4855,2,0,0,,S1
0.5882999999999999,1,1,0,,S1
0.5807,2,1,0,,S1
0.4695,1,0,0,,S1
0.5463,2,1,0,,S1
0.3458,2,1,0,,S1
0.3388,2,0,0,,S1
0.39130000000000004,2,1,0,,S1
0.3624,2,0,0,,S1
0.5903999999999999,2,1,0,,S1
